조사지역,정점,위도,경도,자갈(%),모래(%),실트(%),점토(%),평균,분급,퇴적물유형,IL(%),AVS(%),TOC(%),출현 종수,서식밀도,생체량,다양도,ISEP 등급
대부남동 남서부,하,37°11′37.0″N,126°32′57.0″E,0,19.2,64.2,16.6,5.7,2.3,sZ,3.1,0,0.468,9,530,8.19,1.4,7
대부남동 남동부,상,37°12′23.0″N,126°34′27.0″E,1,10.6,76.7,11.7,5.3,2,(g)M,3.1,0.007,0.422,7,170,133.15,1.7,4
대부남동 남동부,중,37°11′49.0″N,126°34′52.0″E,0,12,78.4,9.6,5,1.6,sZ,2.4,0.005,0.256,10,470,158.43,1.7,4
대부남동 남동부,하,37°11′15.0″N,126°35′17.0″E,0,39.7,52.6,7.7,4.4,1.5,sZ,2.2,0,0.332,11,470,52.7,1.6,6
대부남동 동부,상,37°12′44.0″N,126°35′48.0″E,0.2,33.5,51.2,15.1,5.2,2.7,(g)M,3.3,0,0.355,4,210,376.4,1.1,4
대부남동 동부,중,37°12′14.0″N,126°36′07.0″E,0,12.3,80.8,6.9,4.8,1.2,sZ,1.9,0,0.202,14,470,537.97,2.3,3
대부남동 동부,하,37°11′44.0″N,126°36′26.0″E,0.3,9.1,80.7,9.9,5.1,1.6,(g)M,2.5,0,0.339,8,310,174.83,1.8,1
서산시 기은리,상,36°58′26.0″N,126°22′27.0″E,0.1,16.3,77.1,6.5,4.7,1.3,(g)M,2.3,0.007,0.249,4,770,27.16,0.3,7
서산시 기은리,중,36°58′24.0″N,126°22′10.0″E,0.7,55.2,39.8,4.3,4.1,1,(g)mS,2.1,0,0.203,12,450,103.29,1.9,4
서산시 기은리,하,36°58′22.0″N,126°21′53.0″E,0,57.9,36.3,5.8,4.1,1.2,zS,2.2,0,0.263,8,170,500.42,1.9,4
서산시 오지리,상,36°56′45.0″N,126°22′13.0″E,0.4,5.1,78.3,16.2,6,2.1,(g)M,3.2,0,0.419,12,760,48.74,1.6,4
서산시 오지리,중,36°56′31.0″N,126°22′11.0″E,0,5.3,84.5,10.2,5.4,1.6,Z,2.3,0.002,0.248,7,640,45.64,0.5,7
서산시 오지리,하,36°56′17.0″N,126°22′09.0″E,0,30.6,58.9,10.5,4.8,1.8,sZ,2.9,0.006,0.415,13,2090,80.05,0.6,7
환성리,상,36°54′33.0″N,126°24′24.0″E,0,7.7,74.2,18.1,6.1,2.3,Z,3.8,0,0.501,9,270,129.78,1.4,4
환성리,중,36°54′32.0″N,126°24′06.0″E,0,5.6,78.1,16.3,5.9,2.1,Z,3.3,0,0.427,10,570,154.32,1.4,3
환성리,하,36°54′31.0″N,126°23′48.0″E,0,14,62.8,23.2,6.3,2.8,sZ,3.5,0.047,0.445,7,960,211.98,0.9,3
중왕리,상,36°53′01.0″N,126°22′23.0″E,0,10.1,71.5,18.4,5.9,2.4,sZ,2.8,0,0.462,13,1450,93.02,1.3,6
중왕리,중,36°53′27.5″N,126°21′55.0″E,0,32.9,53.3,13.8,5.2,2.2,sZ,2.9,0.001,0.447,10,310,18.18,2,4
중왕리,하,36°53′54.0″N,126°21′27.0″E,0,44.7,42.2,13.1,4.9,2.3,sZ,2.4,0.003,0.375,21,740,156,2.5,5
태안군 내리,상,36°55′12.0″N,126°18′04.0″E,13.8,40.5,36.1,9.6,2.9,3.7,gM,2.9,0,0.392,8,190,236.46,1.8,2
태안군 내리,중,36°55′13.0″N,126°18′31.0″E,0,11.7,80.8,7.5,4.8,1.4,sZ,2.4,0,0.271,15,5380,142.74,0.7,7
태안군 내리,하,36°55′14.0″N,126°18′58.0″E,0,31.7,54.4,13.9,5.2,2.3,sZ,3,0.004,0.527,17,820,814.82,2.2,3
서산시 호리,상,36°51′49.0″N,126°20′43.0″E,0,14.8,77.3,7.9,4.8,1.4,sZ,2.4,0,0.27,13,800,3.46,1.4,7
서산시 호리,중,36°52′16.0″N,126°20′35.0″E,0,43.5,50.4,6.1,4.3,1.2,sZ,2.1,0.003,0.192,17,780,128.33,2.1,4
서산시 호리,하,36°52′43.0″N,126°20′27.0″E,0,60.6,32.5,6.9,4,1.4,zS,2.1,0.005,0.224,17,1640,121.56,1.8,6
당산리,상,36°52′59.0″N,126°18′56.0″E,0.2,4.7,83.6,11.5,5.4,1.7,(g)M,3.3,0,0.426,8,130,107.305,1.9,4
당산리,중,36°52′46.0″N,126°19′13.0″E,0,8.3,80.3,11.4,5.2,1.7,Z,3,0,0.336,7,500,58.06,1.2,5
당산리,하,36°52′33.0″N,126°19′30.0″E,0,66.1,28.8,5.1,3.9,1.1,zS,1.8,0,0.257,15,1870,62.82,1.5,7
서천군 당정리,상,36°05′59.0″N,126°37′30.0″E,0,5.6,88.3,6.1,4.8,1.1,Z,1.9,0,0.307,22,2740,475.05,1.4,5
서천군 당정리,중,36°05′29.0″N,126°37′00.0″E,0,75.2,21.6,3.2,3.2,1.3,zS,1.6,0,0.232,16,1000,890.27,2,1
서천군 당정리,하,36°04′59.0″N,126°36′30.0″E,0,64.2,32.7,3.1,3.6,1.1,zS,1.7,0,0.176,14,550,13.03,2.2,5
유부도 북부,상,36°00′26.0″N,126°36′20.0″E,0,82.6,13,4.4,3.2,1.3,zS,2.3,0.009,0.304,19,2410,699.943,1.8,3
유부도 북부,중,36°00′45.0″N,126°35′56.0″E,0,88.5,8.1,3.4,3.1,0.9,zS,1.8,0,0.224,15,4970,1418.25,1,6
유부도 북부,하,36°01′04.0″N,126°35′32.0″E,0,95.6,2.5,1.9,2.8,0.4,S,2,0,0.168,18,530,13.96,2.4,3
선도리,상,36°07′34.0″N,126°35′29.0″E,0,85.2,13.2,1.6,2.9,0.8,zS,1.1,0,0.131,19,950,118.36,2.3,5
선도리,중,36°07′24.0″N,126°35′18.0″E,0,41,55.2,3.8,4.1,0.9,sZ,1.7,0,0.189,19,920,71.58,2.5,4
선도리,하,36°07′14.0″N,126°35′07.0″E,0,55,42.5,2.5,4,0.5,zS,1.5,0,0.159,23,850,112.67,2.6,3
유부도 남부,상,36°00′20.0″N,126°36′35.0″E,0,65.5,28.1,6.4,3.4,2,zS,2.5,0,0.258,4,180,127.96,0.8,2
유부도 남부,중,35°59′52.0″N,126°37′00.0″E,0,11.3,63.8,24.9,6.6,2.8,sZ,5.6,0.019,0.716,15,1110,155.52,1.5,5
유부도 남부,하,35°59′24.0″N,126°37′25.0″E,0,19.9,56.4,23.7,6.2,2.9,sZ,5.1,0.031,0.765,8,370,176.5,1.5,4
고창군 두어리,상,35°32′30.0″N,126°33′20.0″E,0,59.4,38.3,2.3,3.4,1.2,zS,1.6,0,0.165,14,570,197.32,2,3
고창군 두어리,중,35°33′25.0″N,126°32′25.0″E,0,47.9,46.8,5.3,4,1.4,sZ,2.3,0.031,0.292,10,580,3204.44,1.3,2
고창군 두어리,하,35°34′20.0″N,126°31′30.0″E,0,82.1,15.1,2.8,3.2,0.9,zS,2.1,0.035,0.238,13,780,1099.33,2.2,1
고창군 상암리,상,35°34′16.0″N,126°36′48.0″E,0,9.7,76.1,14.2,5.5,2,Z,2.9,0.005,0.286,3,80,243.97,1,2
고창군 상암리,중,35°34′35.0″N,126°36′26.0″E,0.1,34.4,57.7,7.8,4.5,1.6,(g)M,3.8,0.032,0.454,10,1440,676.5,1.2,3
고창군 상암리,하,35°34′54.0″N,126°36′04.0″E,0,42.8,49.6,7.6,4.3,1.5,sZ,2.7,0.001,0.309,14,530,580.9,2.4,4
만돌리,상,35°32′06.0″N,126°30′54.0″E,0,97.3,1.7,1,2.4,0.5,S,0.9,0,0.166,11,440,61.57,2.1,4
만돌리,중,35°32′25.0″N,126°30′32.0″E,0,62.4,34,3.6,3.9,0.8,zS,1.7,0,0.198,7,500,4424.8,1.3,4
만돌리,하,35°32′44.0″N,126°30′10.0″E,0,50.3,41.9,7.8,4.4,1.6,zS,1.8,0.004,0.223,10,240,1919.49,2.1,2
부안군 줄포리,상,35°35′26.0″N,126°39′10.0″E,0,1.7,79.5,18.8,6.3,2.2,Z,3.5,0,0.418,8,380,257.71,1.5,5
부안군 줄포리,중,35°35′06.0″N,126°38′48.0″E,0,9.9,82.8,7.3,4.9,1.3,Z,2.1,0,0.245,7,150,456.62,1.8,4
부안군 줄포리,하,35°34′46.0″N,126°38′26.0″E,0,25.8,54.1,20.1,5.9,2.6,sZ,3.5,0,0.525,9,150,10.56,2.1,3
부안군 우포리,상,35°34′32.0″N,126°39′50.0″E,0.2,4.5,87.9,7.4,5.1,1.3,(g)M,1.8,0,0.181,7,430,216.58,1.2,5
부안군 우포리,중,35°34′31.0″N,126°39′26.0″E,0,15.1,62.6,22.3,6.2,2.7,sZ,2.8,0,0.379,8,450,65.83,1.5,3
부안군 우포리,하,35°34′30.0″N,126°39′02.0″E,0,12.6,69.7,17.7,5.8,2.4,sZ,4.5,0,0.647,9,200,69.3,1.8,4
무안군 유월리,상,35°06′15.0″N,126°20′09.0″E,0.3,3.2,70.8,25.7,6.9,2.6,(g)M,3.8,0,0.608,8,200,251.91,1.8,1
무안군 유월리,중,35°06′19.5″N,126°20′38.0″E,0.3,0.9,74.6,24.2,6.8,2.4,(g)M,4,0.422,0.679,9,530,543.9,2,3
무안군 유월리,하,35°06′24.0″N,126°21′07.0″E,0,0.5,78.9,20.6,6.5,2.3,Z,3.3,0.043,0.539,14,510,177.55,2.2,4
함평군 석창리,상,35°03′56.0″N,126°26′44.0″E,8.2,25.5,50.6,15.7,4.4,4,gM,2.2,0,0.362,4,110,55.32,1,5
함평군 석창리,중,35°04′15.0″N,126°26′00.0″E,0,0.6,68.8,30.6,7.3,2.7,Z,4.2,0,0.555,9,900,38.21,1.3,6
함평군 석창리,하,35°04′34.0″N,126°25′16.0″E,0,1.7,59,39.3,7.7,2.9,M,5.3,0,0.59,8,290,125.77,1.4,2
해운리,상,35°01′46.0″N,126°25′08.0″E,16.9,56.5,15.8,10.8,2.3,3.8,gmS,2.6,0.021,0.305,11,590,25.11,1.9,5
해운리,중,35°02′12.0″N,126°25′00.0″E,1.6,23,33.3,42.1,6.7,4.6,(g)M,5.4,0,0.724,9,800,19.24,1.2,5
해운리,하,35°02′38.0″N,126°24′52.0″E,26.3,63.7,5,5,0.4,2.4,gmS,1.2,0,0.188,27,1410,43.67,2.9,5
무안군 마산리,상,35°04′47.0″N,126°21′59.0″E,0.7,3.2,61.3,34.8,7.6,2.9,(g)M,6.6,0.209,0.895,6,140,109.06,1.6,4
무안군 마산리,중,35°05′06.0″N,126°22′04.0″E,0,11,57.5,31.5,7,3.3,sM,4.2,0,0.552,9,620,30.56,1.5,6
무안군 마산리,하,35°05′25.0″N,126°22′09.0″E,0,2.5,66.6,30.9,7.2,2.8,Z,6.1,0,0.7,6,200,20.24,1.3,4
증도 증서지,상,34°59′52.0″N,126°08′07.0″E,1.6,96,1.4,1,1.2,1,(g)S,1,0,0.145,3,70,0.1,1,6
증도 증서지,중,34°59′41.0″N,126°07′49.0″E,0,97.3,0.9,1.8,2.9,0.3,S,1.3,0,0.173,17,2270,509.66,1.6,5
증도 증서지,하,34°59′30.0″N,126°07′31.0″E,0,46.9,49,4.1,4,1.3,sZ,2.8,0,0.234,8,150,7.7,1.9,5
증도 방축리,상,35°01′08.0″N,126°07′24.0″E,0,1.4,66.3,32.3,7.4,2.6,Z,7,0,0.768,14,710,76.42,1.7,5
증도 방축리,중,35°01′21.0″N,126°07′19.0″E,0,0.7,79.3,20,6.5,2.2,Z,4.2,0,0.485,11,180,8.73,2.3,4
증도 방축리,하,35°01′34.0″N,126°07′14.0″E,0,0.4,75.6,24,6.7,2.4,Z,4.4,0,0.422,10,450,37.89,1.6,4
증도 증동리,상,35°00′14.0″N,126°10′01.0″E,0,0.4,72.2,27.4,7.2,2.3,Z,4.6,0,0.541,9,420,115.51,1.7,4
증도 증동리,중,35°00′19.5″N,126°10′17.0″E,0,0.8,81.8,17.4,6.3,2.1,Z,3.2,0.01,0.389,8,490,202.15,1.6,1
증도 증동리,하,35°00′25.0″N,126°10′33.0″E,0,0.5,72.1,27.4,7,2.6,Z,4.5,0,0.398,8,960,88.67,1.1,7
화도 동부,상,34°57′43.0″N,126°09′54.0″E,0,0.2,75.6,24.2,6.9,2.3,Z,4.5,0,0.476,8,370,36.11,1.4,3
화도 동부,중,34°57′31.0″N,126°10′17.0″E,0,0.2,83.3,16.5,6.3,1.9,Z,3.9,0,0.453,7,700,24.24,1.2,7
화도 동부,하,34°57′19.0″N,126°10′40.0″E,0,0.6,77.4,22,6.5,2.3,Z,3.9,0,0.506,9,510,244.29,1.6,2
화도 서부,상,34°57′00.0″N,126°09′26.0″E,0.3,41.4,41.4,16.9,4.9,3.3,(g)M,3,0.004,0.423,12,590,137.27,1.6,6
화도 서부,중,34°56′47.5″N,126°09′03.5″E,0.2,33.1,47.1,19.6,5.3,3.5,(g)M,2.9,0,0.397,9,240,15.08,1.9,5
화도 서부,하,34°56′35.0″N,126°08′41.0″E,0,20.1,58.9,21,5.8,3,sZ,3.5,0,0.425,17,470,18.25,2.6,4
증도 우전리,상,34°58′24.0″N,126°08′12.0″E,0.9,99.1,0,0,0.5,0.4,(g)S,0.5,0,0.123,5,520,1.22,0.8,7
증도 우전리,중,34°58′23.0″N,126°08′09.0″E,0.3,99.7,0,0,1.3,0.8,(g)S,0.6,0,0.111,3,260,0.25,0.3,6
증도 우전리,하,34°58′22.0″N,126°08′06.0″E,2.2,97.8,0,0,1.2,1,(g)S,3.8,0.011,0.349,2,90,4.55,0.5,1
증도 대초리,상,34°59′14.0″N,126°08′04.0″E,0,100,0,0,2.5,0.4,S,1.5,0,0.147,5,430,29.48,0.7,3
증도 대초리,중,34°59′13.0″N,126°08′01.0″E,0,97.7,1.2,1.1,2.7,0.4,S,1.4,0,0.192,2,30,10.66,0.6,3
증도 대초리,하,34°59′12.0″N,126°07′58.0″E,0,95.9,2.1,2,2.8,0.4,S,2.2,0,0.19,2,20,12.31,0.7,1
대동염전,상,34°45′16.0″N,125°58′51.0″E,0,1.6,88.2,10.2,5.5,1.5,Z,3,0,0.295,4,170,110.65,1,4
대동염전,중,34°45′02.0″N,125°59′01.0″E,0,2.7,86.4,10.9,5.5,1.6,Z,3.8,0,0.222,1,10,0.05,,
대동염전,하,34°44′48.0″N,125°59′11.0″E,0,7,81.8,11.2,5.3,1.7,Z,3.5,0,0.368,2,40,3.39,0.7,1
도초도 죽연리,상,34°40′41.00″N,125°59′18.00″E,0,3.2,73.3,23.5,6.8,2.4,Z,5.1,0,0.43,3,970,132.54,0.2,7
도초도 죽연리,중,34°40′30.00″N,125°59′28.00″E,0,2.2,83.5,14.3,5.9,1.9,Z,3.4,0,0.357,7,470,20.4,0.7,4
도초도 죽연리,하,34°40′19.00″N,125°59′38.00″E,0,0.6,78,21.4,6.6,2.3,Z,4,0,0.394,15,820,187.03,2.1,3
지남리,상,34°41′22.40″N,125°55′11.30″E,0.1,99.9,0,0,1.9,0.5,(g)S,0.9,0,0.13,8,540,0.34,0.6,7
지남리,중,34°41′21.60″N,125°55′11.30″E,0.4,99.6,0,0,2.3,0.6,(g)S,1.4,0,0.16,6,1520,21.15,1,6
지남리,하,34°41′20.80″N,125°55′11.30″E,1.3,98.7,0,0,2.4,0.6,(g)S,1.4,0,0.167,4,1100,4.53,0.7,6
비금도 내월리,상,34°45′04.60″N,125°53′39.60″E,0,100,0,0,2,0.3,S,1.1,0,0.097,7,560,2.67,1.4,6
비금도 내월리,중,34°45′04.10″N,125°53′39.10″E,0,100,0,0,2.2,0.3,S,1,0,0.219,6,900,168.23,1.2,1
비금도 내월리,하,34°45′03.60″N,125°53′38.60″E,0,100,0,0,2.1,0.3,S,1.1,0,0.137,7,480,115.18,1.4,1
만년리 북부,상,34°43′22.0″N,125°58′55.0″E,0,0.3,68.8,30.9,7.3,2.6,Z,5.5,0,0.547,6,290,5.17,1.3,5
만년리 북부,중,34°43′45.0″N,125°58′54.0″E,0,0.5,81.7,17.8,6.3,2.1,Z,4.2,0,0.426,5,110,230.43,1.5,2
만년리 북부,하,34°44′08.0″N,125°58′53.0″E,0,3.2,82.8,14,5.8,1.9,Z,3.8,0,0.336,6,180,46,1.6,3
만년리 동부,상,34°42′50.0″N,125°59′39.0″E,0,0.2,79.9,19.9,6.6,2.1,Z,4.1,0,0.475,5,240,154.9,1.1,2
만년리 동부,중,34°42′53.0″N,126°00′07.0″E,0,0.7,78.7,20.6,6.6,2.2,Z,4.4,0,0.428,14,430,25.619,2.2,2
만년리 동부,하,34°42′56.0″N,126°00′35.0″E,0,1.2,80.6,18.2,6.3,2.2,Z,4.1,0,0.339,7,150,40.9,1.6,2
순천시 대대동,상,34°52′28.0″N,127°30′34.0″E,0,0.9,46.8,52.3,8.8,2.5,M,7.7,0.039,1.169,5,340,224.82,1,5
순천시 대대동,중,34°52′20.0″N,127°30′35.0″E,0,1,52.9,46.1,8.4,2.6,M,7.7,0.007,1.125,7,930,73.46,1.2,5
순천시 대대동,하,34°52′12.0″N,127°30′36.0″E,0,2.1,49.9,48,8.4,2.7,M,7.7,0.24,1.344,7,350,140.22,1.2,4
안풍동,상,34°52′26.0″N,127°29′54.0″E,0,0.1,44.7,55.2,9,2.5,M,9.2,0.072,1.425,6,890,159.49,0.9,6
안풍동,중,34°52′19.0″N,127°29′54.0″E,0,0.1,46.2,53.7,8.9,2.6,M,8.9,0,1.441,5,580,25.61,1.4,4
안풍동,하,34°52′12.0″N,127°29′54.0″E,0,0.9,51,48.1,8.5,2.7,M,7.8,0.023,1.124,5,130,8.83,1.3,3
학산리,상,34°51′41.0″N,127°29′40.0″E,0.5,3,43.5,53,8.8,2.7,(g)M,8.6,0.012,1.242,5,140,214.94,1.1,5
학산리,중,34°51′42.0″N,127°29′49.0″E,0,0,45.8,54.2,9,2.5,M,9.2,0,1.159,5,130,374.37,1.4,4
학산리,하,34°51′43.0″N,127°29′58.0″E,0,5.1,51.4,43.5,8.2,2.9,M,6.7,0,1.029,6,60,8.41,1.8,4
무풍리,상,34°51′02.0″N,127°29′36.0″E,0,0.1,43.4,56.5,9.1,2.5,M,9,0,1.163,8,450,55.87,1.4,2
무풍리,중,34°51′02.0″N,127°29′46.0″E,0,0.2,48.1,51.7,8.7,2.6,M,8.5,0.008,1.244,15,3500,1008.49,1.3,3
무풍리,하,34°51′02.0″N,127°29′56.0″E,0,0.1,49.1,50.8,8.7,2.7,M,8.5,0,1.267,12,21460,9326.92,0.3,1
농주리 북부,상,34°51′57.0″N,127°30′59.0″E,0,0.2,52.3,47.5,8.6,2.3,M,6.7,0,0.862,2,20,8.15,0.7,1
농주리 북부,중,34°51′50.0″N,127°30′34.0″E,0,2.5,50.6,46.9,8.4,2.7,M,7.1,0,1.055,14,4140,273.7,0.7,7
농주리 북부,하,34°51′43.0″N,127°30′09.0″E,0,0.6,45.6,53.8,8.8,2.7,M,6.8,0.003,1.158,4,7480,2193.02,0,3
농주리 남부,상,34°51′33.0″N,127°31′02.0″E,0,0.1,49.5,50.4,8.7,2.5,M,7.1,0,1.021,9,460,108.74,1.5,4
농주리 남부,중,34°51′24.0″N,127°30′40.0″E,0,0.2,47.2,52.6,8.8,2.6,M,7.5,0,1.068,15,870,77.85,2.2,5
농주리 남부,하,34°51′15.0″N,127°30′18.0″E,0,0.1,48.9,51,8.7,2.7,M,7.9,0,1.104,19,1360,25.15,1.6,6
학산리 북부,상,34°52′08.0″N,127°29′31.0″E,0,0,44.1,55.9,9,2.5,M,8,0,1.183,4,110,71.61,1.1,5
학산리 북부,중,34°52′04.0″N,127°29′43.0″E,0,1,45.5,53.5,8.9,2.6,M,8.3,0.015,1.256,6,210,135.3,1.4,5
학산리 북부,하,34°52′00.0″N,127°29′55.0″E,0,0.4,49.4,50.2,8.6,2.7,M,7.5,0.02,1.328,6,150,254.22,1.4,3
장암리,상,34°48′25.0″N,127°25′09.0″E,0,0.2,55.5,44.3,8.4,2.5,M,6.2,0,0.844,10,390,100.59,1.5,6
장암리,중,34°48′16.0″N,127°25′23.0″E,0,0.3,59.3,40.4,8,2.6,M,6.3,0,0.818,16,290,122.59,2.6,3
장암리,하,34°48′07.0″N,127°25′38.0″E,0,0.1,64.6,35.3,7.7,2.6,M,6,0,0.663,7,180,1081.57,1.6,3
보성군 호동리,상,34°49′31.0″N,127°24′15.0″E,0,0.3,52.2,47.5,8.5,2.6,M,7.6,0,0.953,8,180,277.24,1.8,2
보성군 호동리,중,34°49′18.0″N,127°24′19.0″E,0,1.2,54.3,44.5,8.3,2.6,M,7.3,0,0.863,14,630,393.12,1.6,4
보성군 호동리,하,34°49′05.0″N,127°24′23.0″E,0,0.5,58.5,41,8.1,2.6,M,6.9,0,0.856,15,530,543.46,2.4,5
대포리,상,34°47′50.0″N,127°24′16.0″E,0,0.1,55.8,44.1,8.4,2.5,M,7,0,0.865,8,170,72.12,1.8,5
대포리,중,34°47′39.0″N,127°24′28.0″E,0,0.1,56.2,43.7,8.3,2.6,M,7.2,0,0.933,11,400,365.182,1.9,4
대포리,하,34°47′28.0″N,127°24′40.0″E,0,0.1,57.5,42.4,8.1,2.7,M,7,0,0.856,13,740,107.13,1.7,5
둔전리,상,34°32′36.0″N,126°19′05.0″E,0,0.6,83.8,15.6,6.2,1.9,Z,3.1,0,0.501,10,220,18.86,1.8,3
둔전리,중,34°32′43.0″N,126°19′08.0″E,0,0.5,81.5,18,6.3,2.1,Z,3.2,0,0.38,14,610,46.29,2,5
둔전리,하,34°32′50.0″N,126°19′11.0″E,0,1.6,72.9,25.5,6.9,2.6,Z,2.5,0,0.498,19,690,48.61,2.4,5
봉암동 서부,상,35°12′57.0″N,128°37′21.0″E,2.2,50.3,34.8,12.7,4.5,2.8,(g)mS,2.8,0.01,0.84,10,1380,2659.13,1.6,4
봉암동 서부,중,35°12′54.5″N,128°37′22.5″E,0,76.9,17.6,5.5,3.2,1.7,zS,4.3,0.041,0.513,19,13110,203.3,1.6,7
봉암동 서부,하,35°12′52.0″N,128°37′24.0″E,0,41.1,40.9,18,5.2,3.1,sZ,2.7,0.027,0.45,10,1280,165.93,1.5,3
봉암동 동부,상,35°12′59.0″N,128°37′28.0″E,35.6,42.1,15.3,7,0.9,4,msG,5.2,0,0.336,16,3180,20.79,1.5,6
봉암동 동부,중,35°12′58.0″N,128°37′28.5″E,0,75.8,14.9,9.3,2.9,2.7,mS,4.2,0.082,0.787,13,14820,651.01,1.5,7
봉암동 동부,하,35°12′57.0″N,128°37′29.0″E,0,63.4,26.1,10.5,3.9,2.6,zS,3.1,0.067,0.528,10,1910,688,1.4,5
