project_name,station,yyyy-mm-dd hh:mm:ss,Longitude [degrees_east],Latitude [degrees_north],총질소[μg/L],염분[psu],수온[℃],클로로필-a[μg/L],부유물질 농도[mg/L],용존산소[mg/L],수소이온농도[무단위],규산염[μg/L],아질산성질소[μg/L],인산염인[μg/L],질산성질소[μg/L],투명도[m],용존무기질소[μg/L],화학적산소요구량[mg/L],암모니아성 질소[μg/L],총인[μg/L]
해양환경측정망,가로림연안1_연안,43683.49861,126.3269444,36.94638889,214.4,31.63,24.07,3.47,18.2,7.72,8.09,259.8,4.9,12.4,28.7,1.3,48.2,1.51,14.7,29.7
해양환경측정망,가로림연안2_연안,43683.51528,126.3133333,36.99,162.9,31.7,22.27,5.48,6.7,8.43,8.14,71.7,1.3,4.4,4.9,2.1,11,1.63,4.9,20
해양환경측정망,가로림연안3_연안,43684.59722,126.2,36.94166667,204.3,31.61,21.42,4.2,4,8.31,8.08,107.9,4,6,17.4,3.9,38.8,1.84,17.4,19.1
해양환경측정망,가로림연안4_연안,43683.49306,126.3336111,36.9225,223.2,31.51,24.79,3.73,21.8,7.76,8.07,261.9,4.6,11.8,28.1,0.8,44.8,1.6,12.2,31.1
해양환경측정망,가로림연안5_연안,43683.50833,126.3225,36.97083333,197.6,31.56,23.59,4.4,14.3,8.06,8.12,158.1,2.5,6.8,12.4,1.3,22,1.76,7.1,25.1
해양환경측정망,가로림연안6_연안,43683.58472,126.2608333,37.03305556,254.6,31.34,22.33,2.7,7.7,7.57,8.04,273.3,7.4,12.9,47,3.2,79.1,3.11,24.7,29
해양환경측정망,가막만1_환경관리,43692.37361,127.73417,34.7225,251.7,31.18,26.6,1.56,35.1,6.29,8.07,301.6,4.3,20.6,21.5,3,80.1,1.48,54.3,35.1
해양환경측정망,가막만2_환경관리,43687.37778,127.68833,34.68917,180.9,31.77,27.36,1.8,19.7,8.91,8.18,49.8,1.2,3.2,2.5,4.5,31,1.2,27.3,19.7
해양환경측정망,가막만3_환경관리,43687.39861,127.69028,34.62139,126.1,31.91,26.2,1.33,19.7,8.72,8.15,105.6,0.8,3.4,0.9,5,4.8,0.7,3.2,19.7
해양환경측정망,가막만4_환경관리,43687.58403,127.66111,34.7325,183.4,31.51,29.4,2.88,27.7,9.28,8.18,103,0.5,10.3,0.6,5,30.8,1.57,29.7,27.7
해양환경측정망,가막만5_환경관리,43687.57292,127.64417,34.6975,185,31.64,28.96,0.87,17.8,9.55,8.23,26.9,0.2,3.9,0.7,7,7,1.11,6,17.8
해양환경측정망,감포연안1_연안,43706.52083,129.5108333,35.79805556,131.2,32.18,24.95,1.3,4.5,7.16,8.18,106.6,0.9,2,2.6,8,4.6,1.14,1.2,11.3
해양환경측정망,감포연안2_연안,43706.46875,129.5305556,35.81555556,104.1,32.14,25.4,1.38,4.4,7.13,8.17,120.1,1.1,1,4.2,8,5.4,1.73,0,8.2
해양환경측정망,감포연안3_연안,43706.55208,129.4883333,35.7075,127.2,32.32,25.18,0.97,4,7.3,8.17,129.1,0.4,1.1,1.5,7.5,2.8,1.43,0.9,7.3
해양환경측정망,감포연안4_연안,43706.53819,129.5005556,35.74638889,103.1,32.32,25.36,1,3.2,7.29,8.16,140.3,0.7,1.1,3.7,6,4.4,1.47,0,8.1
해양환경측정망,감포연안H1_항만,43706.48056,129.5055556,35.80694444,196.9,31.8,25.53,2.14,4.6,6.68,8.12,194.7,2.5,5.1,30.3,4.5,52.1,1.31,19.3,17.6
해양환경측정망,강구연안1_연안,43689.65417,129.4205556,36.38055556,120.7,33.06,25.15,0.76,13,5.69,8.22,53.4,0,0.6,4.1,10.2,8.4,1.54,4.3,12.6
해양환경측정망,강구연안2_연안,43689.64236,129.3975,36.35,142.5,32.96,25.09,0.66,10.5,8.52,8.23,37.1,0.1,0.2,7.5,9.8,10.4,1.17,2.8,11.9
해양환경측정망,강구연안H1_항만,43689.63333,129.3905556,36.35666667,194.1,32.46,24.23,1.41,27.6,8.16,8.03,237.6,0.8,1.6,59.9,4,64.8,1.58,4.1,14.2
해양환경측정망,강릉연안1_연안,43683.5625,128.9616667,37.78166667,102.7,33.35,25.73,0.59,12.3,8.05,8.2,80.1,0.1,1.3,0.4,8.8,0.8,1.06,0.3,8.8
해양환경측정망,강릉연안2_연안,43683.54861,128.9555556,37.78,110.2,33.34,25.76,0.54,8.9,7.81,8.2,92.3,0.2,1.9,0.7,10.2,1.1,0.96,0.1,9
해양환경측정망,강릉연안3_연안,43683.52778,128.9761111,37.76972222,114.9,33.37,26.08,0.42,10.8,7.65,8.21,109.9,0.2,2,0.4,10.5,0.8,0.8,0.2,7.6
해양환경측정망,강릉연안4_연안,43686.56944,128.9316667,37.80638889,115.8,32.45,26.77,0.99,8.7,7.91,8.04,124.7,0.2,1.7,0.8,6.8,1,1.02,0,10
해양환경측정망,강릉연안5_연안,43683.46875,129.0808333,37.66444444,109.6,33.45,23.62,0.4,3.6,8.13,8.19,109.3,0.4,1.2,1.3,9.5,2,1.04,0.3,9.3
해양환경측정망,강릉연안6_연안,43683.49306,129.0372222,37.71666667,107,33.38,24.87,0.4,9.3,8.1,8.17,145.2,0.4,2.1,0.8,12.1,4.8,0.9,3.6,8.4
해양환경측정망,강릉연안7_연안,43683.51736,128.9952778,37.75083333,134,33.09,25.04,3.08,9.9,8.47,8.15,430.2,5.7,22.6,123,5.8,128.7,1.49,0.1,23.9
해양환경측정망,거제도남안1_연안,43685.67083,128.5580556,34.81333333,229.3,32.11,25.68,6.86,5.6,7.87,8.03,470.2,7.1,24.3,30.1,2.5,58.6,1.28,21.4,46.2
해양환경측정망,거제도남안2_연안,43685.65417,128.52,34.78083333,139.2,32.43,23.9,2.84,4.3,8.46,8.09,160.5,1.6,6.4,7.2,6,19.3,2,10.6,19.2
해양환경측정망,거제도남안3_연안,43685.625,128.5402778,34.72277778,157.8,32.73,23.12,2.26,4.7,8.78,8.17,140.2,0.6,1.4,3.9,5.5,13,2.02,8.5,20.5
해양환경측정망,거제도남안4_연안,43685.59028,128.6427778,34.67388889,118.1,32.42,25,0.62,5.8,9.14,8.23,62.6,0.3,0.7,1.5,10,54.4,1.46,52.7,11.1
해양환경측정망,거제도동안1_연안,43685.43819,128.7333333,34.90944444,130.6,31.83,24.24,1.79,4,9.39,8.09,41.4,0.5,2.1,2.5,6,3.2,0.86,0.2,13.5
해양환경측정망,거제도동안2_연안,43685.55069,128.6797222,34.79861111,110,32.37,25.24,1.32,4.5,9.15,8.22,57.3,0.4,1.6,2.3,6.5,3,1.1,0.3,12.5
해양환경측정망,거제도동안3_연안,43685.51806,128.7744444,34.76805556,108.3,31.8,27.27,0.24,3.1,8.18,8.2,164.8,0,1.8,1.6,11.5,2,2.1,0.4,5.8
해양환경측정망,거제도동안4_연안,43685.47361,128.7502778,34.87916667,137.8,31.81,24.28,1.96,6.8,9.23,8.22,35.9,0.3,0.6,3.2,4,4.8,1.98,1.4,15.3
해양환경측정망,거제도동안H1_항만,43685.45139,128.7155556,34.88527778,168.6,31.32,25.84,1.28,6.15,9.22,8.23,56.3,1.1,2.9,5.2,5.5,18.7,0.98,12.4,18.4
해양환경측정망,거제도동안H2_항만,43685.4875,128.7272222,34.86472222,191.2,31.88,24.4,2.88,5.45,9.55,8.22,59.8,0.8,1.9,1.7,4,3,2.32,0.5,26.5
해양환경측정망,거진연안1_연안,43685.62153,128.5055556,38.40833333,113,33.17,24.65,0.93,6.8,8,8.16,105.9,0,1.5,1,9.2,7.6,1.26,6.7,9.7
해양환경측정망,거진연안2_연안,43685.60625,128.4597222,38.44027778,85.4,33.12,22.85,1.46,7.3,8.14,8.18,144.3,0,1.7,2.7,6.8,3.3,1.09,0.6,7.6
해양환경측정망,거진연안H1_항만,43685.59722,128.4597222,38.44638889,140,32,25.42,4.12,6.2,7.79,8.16,234.8,1,3.3,13.4,2.7,18.2,1.38,3.8,22.8
해양환경측정망,고성자란만1_연안,43693.45069,128.3147222,34.9275,159.9,32.38,26.45,2.34,5.3,7.17,8.07,190.6,0.6,18.6,1.9,6,15.5,1.78,13,36.7
해양환경측정망,고성자란만2_연안,43693.40139,128.2233333,34.90944444,156.3,32.26,26.72,0.72,4.3,7.68,8.16,70.8,0.4,4.1,1.1,8.5,1.7,1.11,0.3,18.8
해양환경측정망,고성자란만3_연안,43693.42083,128.25,34.875,144.5,32.28,26.65,0.66,2.9,7.63,8.18,108,0.5,3.7,1.2,10.9,1.9,0.92,0.2,16.4
해양환경측정망,고창연안1_연안,43691.35764,126.4605556,35.5725,220.4,30.63,27.57,2.75,6.8,6.32,8.01,541.1,2.5,33,13.5,1.9,56.8,1.8,40.8,45.9
해양환경측정망,고창연안2_연안,43691.38194,126.3916667,35.5,310.1,30.8,27.97,2.97,11.3,5.85,7.98,478.7,2.8,44,14.2,1.2,81.6,2.15,64.5,76.9
해양환경측정망,고창연안3_연안,43691.40625,126.3775,35.38972222,279.5,30.71,28.89,5,18.7,5.89,7.99,338.2,3.8,34.8,21.5,1,65.4,1.73,40.1,68.4
해양환경측정망,고창연안4_연안,43691.42778,126.3,35.33333333,275,31.12,28.89,9,15.6,6.01,8.05,132.8,1,11.5,5.5,0.9,13,2.77,6.5,60
해양환경측정망,고흥연안1_연안,43691.59028,127.2433333,34.5,169.4,32.19,26.67,2.5,11.4,8.2,8.15,146.1,2,4.1,5.5,2.2,20.7,0.83,13.1,23.4
해양환경측정망,고흥연안2_연안,43690.5,127.2161111,34.33138889,200.6,32.32,25.36,1.57,6,8.57,8.2,84.5,0.3,1.6,1.2,4.5,2.7,0.87,1.3,13.5
해양환경측정망,고흥연안3_연안,43690.45556,127.4016667,34.40444444,135.2,32.2,26.94,2.62,14.1,8.2,8.17,177.9,1.1,4.3,1.7,1.5,6.3,0.52,3.6,19.9
해양환경측정망,고흥연안4_연안,43690.39028,127.595,34.50916667,112.1,31.85,26.66,0.33,2.8,8.33,8.24,170.8,0.7,0.4,3.1,9.5,3.9,1.15,0.1,7
해양환경측정망,고흥연안5_연안,43691.65278,127.4791667,34.47833333,159.1,32.08,26.97,2.62,8.4,7.57,8.19,221.5,2.2,5.5,5.6,1,15.6,0.63,7.8,17.9
해양환경측정망,고흥연안6_연안,43691.67222,127.4916667,34.52277778,131.2,31.93,28.2,0.75,4.8,8.55,8.25,126.3,0.4,1.9,0.9,3,1.7,1.97,0.3,13.1
해양환경측정망,고흥연안7_연안,43690.41042,127.5475,34.45888889,151.2,32.35,24.46,3.02,11,7.65,8.18,240.4,2.1,4.1,9.2,1.5,11.6,0.47,0.3,19.9
해양환경측정망,고흥연안8_연안,43690.42292,127.5475,34.4225,131.2,32.12,26.37,2.37,10.2,8.12,8.19,179.2,1.4,4.1,3,2.5,4.4,0.56,0.1,16.4
해양환경측정망,광양만1_환경관리,43692.60417,127.67972,34.85139,195.7,29.84,28.82,7.56,45.4,9.35,8.45,27.5,0.4,8.3,2,1.2,25.9,3.77,23.6,45.4
해양환경측정망,광양만10_환경관리,43692.59167,127.71028,34.86361,209.5,29.92,28.58,6.64,34.5,9.08,8.31,65.2,0.6,13.1,1.6,2,74.7,2.85,72.5,34.5
해양환경측정망,광양만11_환경관리,43692.50347,127.7,34.91,194.2,30.17,27.15,5.52,30.3,8.49,8.24,119.1,1.5,6.3,1.5,3,70.8,2.36,67.7,30.3
해양환경측정망,광양만12_환경관리,43692.65486,127.82639,34.94,257.2,31.68,24.53,5,36.7,5.63,8.04,447.3,8.9,17.2,27.9,2,137.8,1.43,101,36.7
해양환경측정망,광양만2_환경관리,43692.53889,127.65056,34.88389,210.5,30.53,26.07,6.12,45.3,6.59,8.13,368.4,6.9,19.7,15,2.2,75.8,1.94,54,45.3
해양환경측정망,광양만3_환경관리,43692.5125,127.68222,34.90222,176.9,30.35,26.53,7.04,39.4,8.12,8.23,92.8,1.1,8.8,2.2,3,21.4,2.81,18.1,39.4
해양환경측정망,광양만4_환경관리,43692.64653,127.82333,34.92083,209.2,31.6,25.89,6.2,34.8,6.38,8.06,407.3,7.4,15.3,24.6,1.3,87.6,1.67,55.6,34.8
해양환경측정망,광양만5_환경관리,43692.45833,127.80111,34.83194,216.2,31.3,25.26,2.68,27,6.86,8.12,337.5,5.4,11.4,17.8,4,58.9,1.73,35.8,27
해양환경측정망,광양만6_환경관리,43692.47222,127.78889,34.86944,187.3,30.81,25.87,4.72,37,7.29,8.15,305.2,4.2,11.3,9.6,2.3,33.7,1.88,19.9,37
해양환경측정망,광양만7_환경관리,43692.63542,127.79889,34.90278,244.8,29.96,25.93,3.95,41,6,8.03,577.9,7.5,23.4,51,2.3,112.3,1.64,53.8,41
해양환경측정망,광양만8_환경관리,43692.48611,127.75972,34.89167,205.6,30.73,26.38,4.62,34.5,7.26,8.16,234.4,3.7,10.7,7.9,3,84.5,2.16,72.9,34.5
해양환경측정망,광양만9_환경관리,43692.5625,127.72389,34.9025,212.6,30.06,27.47,5.36,38.5,7.57,8.2,181.9,3.2,12.6,8.5,2.2,28.6,2.55,17,38.5
해양환경측정망,광양만H1_항만,43692.57986,127.7402778,34.8625,192.8,30.32,27.85,5.72,15.8,7.36,8.17,224.8,3.4,21.6,15.1,1.3,116.9,2.21,98.4,37.4
해양환경측정망,구룡포연안1_연안,43706.40972,129.5638889,35.98305556,116,31.89,24.84,1.47,3,6.97,8.14,165.5,1.2,2,8.6,9.5,11.2,1.22,1.4,10.5
해양환경측정망,구룡포연안2_연안,43706.39931,129.5880556,35.99777778,121.3,31.83,25.4,0.5,3.8,7.2,8.18,131,0.6,0.5,5.5,13,6.7,1.09,0.5,6.8
해양환경측정망,구룡포연안H1_항만,43706.41736,129.5563889,35.98555556,178.9,31.61,25.74,3.12,4.65,6.75,8.14,226.6,1.4,3.1,22.3,4.6,28.5,1.4,4.7,20.9
해양환경측정망,군산연안1_연안,43686.39236,126.7191667,35.99777778,812.7,26.3,28.49,3.01,17.3,4.62,7.83,1117.4,47.4,72.3,185.2,1,533,2.24,300.5,94.5
해양환경측정망,군산연안10_연안,43686.48611,126.4,35.97916667,229.7,30.42,26.28,5.52,5.2,8.63,8.23,425.3,0.9,15.1,2.5,2.2,55.7,2.72,52.4,36.9
해양환경측정망,군산연안2_연안,43686.37917,126.6644444,36,617.9,27.9,27.84,4.44,12.2,5.34,7.93,916.7,30.8,56.7,129.3,1,328.1,2.32,168.1,84.1
해양환경측정망,군산연안3_연안,43686.36458,126.6,35.97916667,567.5,28.92,27.43,4.64,7.8,5.65,8.01,705.2,15.7,46.4,143.7,1.9,286.2,2.13,126.7,77.4
해양환경측정망,군산연안4_연안,43686.35278,126.55,35.97916667,337.1,29.76,27.46,3.29,8,5.51,8.02,634.9,8.9,34.6,47.3,1.7,151.8,1.95,95.5,54
해양환경측정망,군산연안5_연안,43686.45139,126.5611111,36.01666667,380.4,30.12,28.02,4.76,6.5,5.75,8.04,814.1,5.4,31.6,22.6,2,72.5,2.06,44.6,54.6
해양환경측정망,군산연안6_연안,43685.70903,126.5088889,36.05833333,343.8,30.6,27.94,7.6,6.3,8.26,8.13,461.2,0.5,14.8,1,2.4,31.1,3.22,29.7,62.7
해양환경측정망,군산연안7_연안,43685.69444,126.4888889,36.11666667,240.2,31.02,27.35,3.11,7.8,6.75,8,384.9,0.9,14.6,2.5,2.8,72.7,2.05,69.3,35.5
해양환경측정망,군산연안8_연안,43686.43403,126.5,35.97916667,374.6,29.79,27.8,3.68,9,5.62,8.02,633.5,9.3,33.9,50.4,2,148.2,2.18,88.5,54.9
해양환경측정망,군산연안9_연안,43686.47222,126.45,35.97916667,215.6,30.49,27.47,6.72,6.8,7.06,8.12,429,1,15.3,2.4,2,21.4,2.07,18,34.4
해양환경측정망,기장연안1_연안,43698.49653,129.2802778,35.28333333,131.2,32.27,26.39,1.02,3,8.14,8.34,99.7,0.3,0,1.1,9.9,1.4,0.27,0,9.9
해양환경측정망,기장연안2_연안,43698.55069,129.2166667,35.16666667,132.8,31.92,26.39,1.03,7.9,7.92,8.35,144,0.4,0,1.8,8.8,2.5,0.59,0.3,8.1
해양환경측정망,기장연안3_연안,43698.48611,129.2916667,35.3,126.5,32.28,26.13,0.94,2.8,8.49,8.35,102.6,0.2,0,1.3,9.5,1.6,0.35,0.1,9.4
해양환경측정망,기장연안4_연안,43698.51042,129.2522222,35.265,156.9,32.24,26.26,1.12,4.5,8.26,8.35,95.8,0.4,0.2,2.1,7.2,2.7,0.43,0.2,9.8
해양환경측정망,기장연안H1_항만,43698.53264,129.2286111,35.22277778,178.9,32.3,25.73,5.14,9.4,8.68,8.34,73.2,0.4,1.5,1.6,4.5,5.9,1.69,3.9,17.2
해양환경측정망,낙동강하구1_하구역,43689.375,128.935,35.10722,852.8,8.09,28.67,12.72,8.1,7.08,7.42,921.3,47.6,17.5,720.8,3,827.3,3.7,58.8,28.4
해양환경측정망,낙동강하구10_하구역,43689.44583,128.91972,35.04472,656.7,21.28,28.05,14.88,6.3,7.41,8.06,1006.2,34.1,11.2,521.2,3.5,565.9,4.02,10.5,41.1
해양환경측정망,낙동강하구2_하구역,43689.38542,128.93167,35.09972,790.8,8.67,28.9,16.02,6.9,7.54,7.6,863.7,41.5,10.8,655.6,2.5,731.5,4.65,34.4,36.2
해양환경측정망,낙동강하구3_하구역,43689.39097,128.92889,35.08944,1068.7,10.02,28.73,9.22,8.6,6.99,7.63,911.6,46.8,16.1,686.7,3,933.5,3,200.1,32.3
해양환경측정망,낙동강하구4_하구역,43689.39583,128.92611,35.08167,942.9,13.14,28.63,12.78,9,7.32,7.68,965.6,41.6,12.4,636,3,772.7,4.47,95.1,42.2
해양환경측정망,낙동강하구5_하구역,43689.41319,128.95222,35.10417,844,21.53,28.01,4.96,5.6,6.22,7.76,761.7,36.6,26,426.6,2,530.2,3.21,67,49.4
해양환경측정망,낙동강하구6_하구역,43689.41806,128.95028,35.09389,792.2,19.45,28.06,6.44,6.5,5.9,7.86,849.9,46,42.3,460.5,2.5,655.3,3.88,148.8,53.6
해양환경측정망,낙동강하구7_하구역,43689.42569,128.94694,35.08611,761.4,16.73,28.23,5.74,5.8,6.26,7.89,802.1,48.3,30.7,507.8,2,646.2,3.49,90.1,33.4
해양환경측정망,낙동강하구8_하구역,43689.43194,128.94417,35.0775,888,15.71,28.53,16.56,10,7.4,7.93,1026.4,31,16.6,464.1,2.5,523.9,4.9,28.7,62.7
해양환경측정망,낙동강하구9_하구역,43689.4375,128.92528,35.06222,774.9,14.37,30.12,12.96,11.2,7.71,7.95,923.3,36,8.1,557.6,4,675.7,4.77,82.1,38.3
해양환경측정망,낙동강하구1_환경관리,43696.58681,128.92722,35.01278,115.8,32.17,26.5,0.81,9.3,8.22,8.32,134.8,0,0.1,0.5,8.9,1.5,0.27,1,9.3
해양환경측정망,낙동강하구2_환경관리,43696.57639,128.96667,34.97639,126.4,32.17,26.52,1.54,9.6,8.38,8.32,133.7,0.5,0,1.3,5.7,2.7,0.38,0.9,9.6
해양환경측정망,낙동강하구3_환경관리,43694.71319,128.90833,35,323.4,30.89,27.18,4.08,41.6,6.99,8.12,409.7,7,26.3,49.2,0.9,126.6,2.39,70.4,41.6
해양환경측정망,낙동강하구4_환경관리,43695.35764,128.86528,34.99583,200.1,31.36,26.14,6.32,26.2,8.08,8.28,111,3.1,4.6,12,2.1,25.6,2.38,10.5,26.2
해양환경측정망,남해도남안1_연안,43686.62569,127.8844444,34.53805556,91.6,32.15,27.43,0.71,3.6,8.29,8.19,131.5,0.2,0,1.3,10,1.7,1.67,0.2,9.8
해양환경측정망,남해도남안2_연안,43686.59722,127.9327778,34.63777778,85.3,32.24,27.67,0.54,6.6,8.24,8.2,105.1,0.5,0.6,0.7,11,1.2,3.01,0,6.9
해양환경측정망,남해도남안3_연안,43686.50347,128.0666667,34.61611111,101.6,32.24,27.42,0.39,3.5,8.36,8.2,92,0.1,0,1,10.5,4.8,1.21,3.7,8.8
해양환경측정망,남해도남안4_연안,43686.53611,127.9908333,34.71361111,121.3,32.18,26.4,1.02,4.6,8.41,8.18,93.9,0,0.9,1.4,5.5,1.8,1.45,0.4,12.8
해양환경측정망,남해도남안5_연안,43686.67708,127.7819444,34.55888889,143.3,31.65,26.72,1.15,3.5,8.6,8.21,108.2,0.8,1.6,4.6,9,8.8,2.02,3.4,15.2
해양환경측정망,대산연안1_연안,43683.41319,126.4755556,37.05222222,283.2,31.05,23.39,1.64,17.8,7.1,7.97,410.5,10.2,22.2,74.9,2.3,132.2,1.5,47.1,37.1
